GeneSet	DESC	GeneSet,Genes
A1BG	A1BG	A1BG,FAM3C,ORM2,OSCAR,LGALS3BP,LAIR2,VWF,FCAR,CRISP3,ITIH4,VSTM1
A1CF	A1CF	A1CF,NUDT21,UPF3A,PPP1R8,CSDC2,CPSF6,PTBP3,APOBEC1,NSUN2,RBM23,ZC3H13
A2M	A2M	A2M,SERPING1,SERPINA3,KRT1,ORM1,FCN1,KNG1,PRG3,MBL2,FCN3,SLPI
A2ML1	A2ML1	A2ML1,SERPINI2,SERPINE3,SERPINA11,SERPINB11,SERPINA9,SERPINA4,PAPLN,CELA3B,PRSS48,PRSS54
A3GALT2	A3GALT2	A3GALT2,GBGT1,ABO,ST8SIA5,B4GALT3,GLT6D1,ST6GALNAC5,ST6GALNAC4,B3GALNT1,ST6GALNAC6,GAL3ST2
A4GALT	A4GALT	A4GALT,B3GALNT1,GAL3ST2,B3GALT1,B3GALT4,B3GALT2,ST6GALNAC5,ST3GAL3,GAL3ST1,GBGT1,ST6GALNAC6
A4GNT	A4GNT	A4GNT,ST8SIA1,GALNT7,GCNT1,GALNT5,B4GALT7,GALNT10,GALNT9,GALNT12,GALNT8,GALNT14
AAAS	AAAS	AAAS,NUP43,NUP37,AHCTF1,CETN3,NUP210,TUBGCP5,TUBGCP3,NUP85,KIF20A,TUBGCP2
AACS	AACS	AACS,ECHDC3,ACOT12,ACSS3,ACAT2,ACSM5,ACSM6,ACSM4,LPIN2,ACBD4,ACBD7
AADAC	AADAC	AADAC,PNLIP,LPIN2,ABHD5,APOA5,AGMO,NCEH1,PNPLA5,TMEM86A,PLIN5,MGLL
AADACL2	AADACL2	AADACL2,CES4A,AADACL3,AADACL4,CES5A,ABHD14A,TMEM62,LYZL2,LYZL1,GLT1D1,DHRS13
AADACL3	AADACL3	AADACL3,AADACL4,TMEM62,AADACL2,ABHD14A,CES4A,EPHX4,TMPPE,PLD5,CES5A,ASPHD1
AADACL4	AADACL4	AADACL4,AADACL3,TMEM62,AADACL2,ABHD14A,CES4A,EPHX4,TMPPE,PLD5,CES5A,ASPHD1
AADAT	AADAT	AADAT,KYAT3,GOT2,TAT,GPT2,ADHFE1,DLST,HOGA1,AGXT2,GOT1,KYAT1
AAGAB	AAGAB	AAGAB,ARRDC2,SFT2D1,SNX22,NACAD,ANKRD50,SNX24,SNX20,NACA2,SNX11,SCAMP4
AAK1	AAK1	AAK1,BMP2K,TSPAN5,TSPAN15,PRKCI,CSNK1G2,PRKG2,WNK2,TNK2,TSPAN14,TNIK
AAMDC	AAMDC	AAMDC,MEDAG,ANKRD26,ADIRF,WDFY2,UBL4B,FAM120B,DLK2,TSPAN31,ATXN7L3B,CCDC85B
AAMP	AAMP	AAMP,AGGF1,KRIT1,VASH2,THSD7A,SMOC2,SPARC,CXCL17,PRKCA,SEMA4A,TNFRSF12A
AANAT	AANAT	AANAT,CLOCK,CRY2,USP2,RBM4B,CRY1,CIPC,CRTC1,AGRP,PPP1CC,KLF9
AAR2	AAR2	AAR2,TSSC4,CD2BP2,LSM2,RSRP1,PRPF3,TXNL4B,SNRPC,USP39,SNRPA,PRPF8
AARD	AARD	AARD,C6orf47,TTC32,PCED1B,ANKRD36B,ANKRD29,FBXO16,TTC33,PCED1A,C2orf68,C5orf24
