GeneSet	DESC	GeneSet,Genes
A1BG	A1BG	A1BG,GRB2,CRISP3,PTPN11,GAB2,AHSG,CRK,SERPINA1,AMBP,A2M,TF
A1CF	A1CF	A1CF,APOBEC1,APOB,APOBEC3F,APOBEC3G,SYNCRIP,APOBEC4,APOBEC2,APOBEC3H,APOBEC3A,CDA
A2M	A2M	A2M,APOA1,LRP1,HP,KLK4,IL1B,ALB,SERPINA1,APOE,HSPA5,SERPINF2
A2ML1	A2ML1	A2ML1,KLK7,CTRB2,CTRB1,KLK6,PPL,EVPL,DSG3,SHOC2,RASA2,LZTR1
A3GALT2	A3GALT2	A3GALT2,B3GALNT1,B4GALT6,GLB1,A4GALT,FANCM,B3GNT5,B3GALT1,CD1D,B4GALT5,FUT2
A4GALT	A4GALT	A4GALT,B3GALNT1,B4GALT1,B4GALT6,B4GALT4,B4GALT2,B4GALT3,HEXA,HEXB,B3GALT4,B3GALT1
A4GNT	A4GNT	A4GNT,MUC6,GCNT4,MUC5AC,MUC20,C1GALT1,MUC1,GKN1,MUC2,GCNT3,GCNT1
AAAS	AAAS	AAAS,RANBP2,NUP88,NDC1,SEH1L,NUP214,NUP155,NUP35,NUP205,NUP85,NUP93
AACS	AACS	AACS,HMGCL,ACAT1,HMGCS1,ACAT2,OXCT1,EHHADH,HMGCS2,HMGCLL1,OXCT2,BDH2
AADAC	AADAC	AADAC,NAT2,NAT1,CES1,CES2,KYNU,ABHD5,TDO2,NDUFS1,UQCRFS1,CYC1
AADACL2	AADACL2	AADACL2,KYNU,NDUFS1,TDO2,FLG2,UQCRFS1,CYC1,NDUFS8,NDUFV1,NDUFS6,HRG
AADACL3	AADACL3	AADACL3,C1orf158,KYNU,NDUFS1,TDO2,UQCRFS1,CYC1,NDUFS8,NDUFV1,NDUFS6,NDUFS4
AADACL4	AADACL4	AADACL4,RNF223,KYNU,NDUFS1,TDO2,UQCRFS1,CYC1,NDUFS8,NDUFV1,NDUFS6,NDUFS4
AADAT	AADAT	AADAT,KYAT1,KMO,KYNU,KYAT3,AFMID,DHTKD1,ALDH7A1,DLD,DLST,BCAT2
AAGAB	AAGAB	AAGAB,AP2S1,AP1S3,AP1G1,AP2A2,CCDC32,KRT9,AP2A1,AMPH,AP1G2,MFSD9
AAK1	AAK1	AAK1,AP2M1,REPS1,EPS15,AP2B1,AP2S1,SGIP1,RALBP1,NECAP2,SNAP91,CLTB
AAMDC	AAMDC	AAMDC,INTS4,FHL3,MOCS1,RSF1,LSM12,NAIF1,CASTOR1,LCTL,SMIM12,TMEM14C
AAMP	AAMP	AAMP,NOD2,EGFR,TBXA2R,RPL10L,GRWD1,AEN,MRTO4,NMD3,TBL3,UTP18
AANAT	AANAT	AANAT,YWHAZ,DDC,IDO2,IDO1,INMT,OPN4,GLYATL1,PPM1L,PPM1K,SLC38A2
AAR2	AAR2	AAR2,PRPF8,SNRNP200,EFTUD2,DDX23,SNRNP40,CD2BP2,ECD,PRPF6,ZNHIT2,TSSC4
AARD	AARD	AARD,KRT27,IQUB,LRRC72,CST9,PPP1R32,DLEC1,SMG5,RPL12,SMG7,TMEM248
AARS2	AARS2	AARS2,DARS2,VARS2,EARS2,LARS2,IARS2,TARS2,RARS2,YARS2,PARS2,WARS2
